,category_code,brand,price
316,electronics.smartphone,huawei,257.12
317,electronics.smartphone,xiaomi,347.24
318,electronics.smartphone,samsung,128.42
319,electronics.smartphone,samsung,172.23
320,electronics.smartphone,apple,1348.61
321,electronics.smartphone,apple,1027.44
322,electronics.audio.headphone,elari,61.65
323,electronics.smartphone,samsung,195.06
324,electronics.audio.headphone,elari,61.65
325,electronics.smartphone,samsung,242.63
326,electronics.smartphone,xiaomi,212.08
327,electronics.smartphone,apple,458.28
328,apparel.shoes,respect,82.63
329,electronics.smartphone,huawei,164.95
330,electronics.audio.headphone,xiaomi,22.8
331,electronics.smartphone,oppo,128.68
332,kids.dolls,llorens,36.07
333,electronics.smartphone,xiaomi,212.08
334,appliances.iron,tefal,56.6
335,electronics.smartphone,samsung,242.63
336,electronics.smartphone,samsung,242.63
337,electronics.telephone,bq,24.43
338,electronics.audio.headphone,apple,30.84
339,electronics.smartphone,xiaomi,223.17
340,electronics.audio.headphone,elari,61.65
341,electronics.telephone,philips,48.62
342,electronics.smartphone,apple,458.28
343,computers.notebook,acer,283.09
344,electronics.smartphone,samsung,128.42
345,computers.desktop,microlab,260.53
346,electronics.smartphone,samsung,242.63
347,electronics.audio.headphone,elari,61.65
348,electronics.smartphone,xiaomi,212.08
349,electronics.smartphone,samsung,242.63
350,auto.accessories.radar,ibox,84.43
351,electronics.audio.headphone,elari,61.65
352,appliances.environment.air_conditioner,samsung,399.26
353,electronics.smartphone,samsung,229.9
354,kids.toys,bestoy,46.33
355,computers.components.hdd,apacer,34.75
356,electronics.video.tv,philips,321.73
357,electronics.audio.headphone,elari,61.65
358,appliances.kitchen.hob,midea,193.03
359,construction.tools.saw,huter,64.78
360,electronics.audio.headphone,apple,160.57
361,auto.accessories.player,pioneer,72.07
362,electronics.tablet,apple,437.31
363,electronics.smartphone,xiaomi,189.97
364,electronics.smartphone,apple,1348.61
365,electronics.smartphone,apple,973.41
366,electronics.smartphone,apple,1027.59
367,electronics.audio.headphone,elari,61.65
368,electronics.smartphone,samsung,172.23
369,electronics.smartphone,samsung,717.39
370,appliances.kitchen.coffee_machine,maxwell,15.42
371,electronics.smartphone,samsung,139.68
372,electronics.smartphone,xiaomi,203.09
373,electronics.smartphone,samsung,128.42
374,electronics.audio.headphone,xiaomi,22.8
375,computers.notebook,hp,262.3
376,electronics.smartphone,xiaomi,189.97
377,electronics.smartphone,samsung,242.63
378,electronics.smartphone,huawei,108.98
379,electronics.smartphone,samsung,242.63
380,electronics.smartphone,huawei,254.71
381,electronics.telephone,nokia,94.66
382,electronics.smartphone,oppo,256.74
383,appliances.kitchen.refrigerators,lg,463.07
384,appliances.kitchen.hood,midea,127.39
385,electronics.smartphone,samsung,128.42
386,electronics.smartphone,apple,949.47
387,electronics.clocks,huawei,169.63
388,electronics.video.tv,artel,228.76
389,appliances.kitchen.washer,indesit,205.67
390,electronics.smartphone,samsung,275.25
391,electronics.video.tv,samsung,369.45
392,electronics.audio.headphone,apple,160.57
393,electronics.smartphone,apple,722.4
394,electronics.telephone,nokia,76.3
395,electronics.audio.headphone,apple,160.57
396,electronics.smartphone,nokia,406.67
397,appliances.environment.vacuum,bosch,218.77
398,electronics.smartphone,apple,458.28
399,appliances.environment.vacuum,midea,38.59
400,electronics.clocks,huawei,169.63
401,electronics.smartphone,samsung,242.63
402,electronics.smartphone,apple,458.28
403,electronics.smartphone,samsung,128.42
404,electronics.smartphone,apple,577.89
405,electronics.smartphone,xiaomi,114.63
406,electronics.smartphone,samsung,229.9
407,apparel.shoes.keds,millionaire,79.02
408,electronics.video.tv,toshiba,359.6
409,electronics.smartphone,samsung,273.56
410,electronics.smartphone,apple,977.3
411,electronics.smartphone,apple,949.47
412,electronics.smartphone,samsung,172.23
413,appliances.environment.vacuum,samsung,64.02
414,electronics.smartphone,samsung,275.25
415,appliances.kitchen.washer,indesit,200.66
416,electronics.smartphone,apple,458.28
417,electronics.smartphone,samsung,229.9
418,electronics.smartphone,samsung,128.42
419,electronics.smartphone,xiaomi,189.97
420,electronics.smartphone,xiaomi,398.72
421,appliances.kitchen.washer,indesit,177.27
422,electronics.smartphone,samsung,242.63
423,electronics.smartphone,apple,732.07
424,appliances.kitchen.kettle,willmark,46.31
425,electronics.smartphone,apple,358.31
426,electronics.smartphone,samsung,223.95
427,electronics.smartphone,samsung,900.64
428,electronics.smartphone,jinga,59.18
429,electronics.audio.subwoofer,element,133.83
430,electronics.smartphone,apple,949.47
431,electronics.smartphone,samsung,242.63
432,electronics.smartphone,xiaomi,189.97
433,appliances.kitchen.washer,indesit,177.27
434,electronics.smartphone,huawei,108.98
435,electronics.smartphone,apple,1348.61
436,computers.peripherals.printer,xerox,154.19
437,electronics.smartphone,oppo,166.41
438,electronics.smartphone,xiaomi,189.97
439,electronics.smartphone,samsung,172.23
440,computers.notebook,lenovo,397.93
441,electronics.smartphone,apple,577.89
442,appliances.sewing_machine,brother,100.47
443,appliances.environment.water_heater,ariston,105.7
444,electronics.smartphone,samsung,172.23
445,construction.tools.saw,huter,87.52
446,appliances.environment.vacuum,thomas,308.86
447,computers.notebook,acer,437.57
448,apparel.dress,conceptclub,47.62
449,electronics.smartphone,apple,949.47
450,electronics.smartphone,apple,722.4
451,electronics.audio.headphone,xiaomi,22.8
452,electronics.smartphone,samsung,900.64
453,electronics.smartphone,apple,1013.86
454,electronics.smartphone,samsung,172.23
455,electronics.smartphone,samsung,242.63
456,electronics.smartphone,huawei,230.93
457,electronics.smartphone,samsung,88.29
458,electronics.smartphone,samsung,172.23
459,electronics.smartphone,apple,531.26
460,electronics.audio.headphone,apple,188.94
461,electronics.smartphone,apple,358.31
462,electronics.smartphone,samsung,301.08
463,appliances.kitchen.washer,indesit,177.27
464,electronics.smartphone,samsung,242.63
465,electronics.smartphone,samsung,139.68
466,electronics.smartphone,apple,949.47
467,appliances.environment.vacuum,bosch,105.02
468,electronics.smartphone,apple,358.31
469,electronics.smartphone,samsung,242.63
470,appliances.kitchen.washer,indesit,210.79
471,electronics.smartphone,samsung,172.23
472,electronics.smartphone,samsung,242.63
473,appliances.environment.water_heater,ariston,105.7
474,electronics.smartphone,apple,949.47
475,electronics.smartphone,apple,458.28
476,electronics.smartphone,samsung,139.68
477,appliances.kitchen.washer,samsung,579.14
478,furniture.bedroom.bed,sv,356.25
479,electronics.smartphone,samsung,128.42
480,electronics.smartphone,samsung,362.29
481,electronics.smartphone,apple,722.4
482,electronics.smartphone,samsung,139.64
483,electronics.smartphone,samsung,128.42
484,electronics.smartphone,apple,532.57
485,electronics.smartphone,apple,1665.36
486,electronics.smartphone,apple,458.28
487,electronics.smartphone,apple,1583.48
488,appliances.kitchen.refrigerators,indesit,272.8
489,electronics.smartphone,oppo,178.87
490,electronics.smartphone,meizu,69.24
491,electronics.video.tv,lg,459.16
492,electronics.smartphone,samsung,275.25
493,electronics.smartphone,apple,591.25
494,electronics.smartphone,oppo,308.45
495,electronics.smartphone,apple,531.26
496,electronics.smartphone,apple,1013.86
497,electronics.audio.headphone,marshall,53.8
498,electronics.smartphone,samsung,139.64
499,electronics.smartphone,apple,458.28
500,electronics.smartphone,samsung,717.39
501,electronics.clocks,samsung,290.82
502,electronics.smartphone,samsung,362.29
503,appliances.iron,vitek,23.12
504,electronics.smartphone,apple,465.91
505,furniture.kitchen.table,komfort-s,39.36
506,appliances.kitchen.grill,redmond,77.17
507,electronics.smartphone,samsung,172.23
508,electronics.smartphone,samsung,88.29
509,electronics.smartphone,apple,928.18
510,apparel.shoes,nexpero,66.41
511,electronics.smartphone,oppo,231.64
512,electronics.smartphone,samsung,128.42
513,electronics.smartphone,apple,928.18
514,electronics.smartphone,apple,722.4
515,electronics.smartphone,samsung,139.68
516,electronics.smartphone,oppo,308.45
517,electronics.smartphone,samsung,88.24
518,electronics.smartphone,samsung,128.42
519,electronics.audio.headphone,apple,160.57
520,electronics.smartphone,samsung,131.53
521,electronics.smartphone,xiaomi,211.92
522,computers.notebook,lenovo,252.23
523,electronics.smartphone,samsung,242.72
524,electronics.audio.headphone,xiaomi,22.8
525,electronics.smartphone,samsung,229.9
526,electronics.smartphone,huawei,230.93
527,electronics.smartphone,samsung,362.29
528,electronics.smartphone,xiaomi,136.17
529,electronics.smartphone,xiaomi,203.09
530,electronics.smartphone,apple,928.38
531,appliances.kitchen.mixer,elenberg,25.71
532,electronics.smartphone,apple,949.47
533,electronics.smartphone,samsung,128.42
534,electronics.smartphone,xiaomi,150.97
535,electronics.clocks,xiaomi,70.79
536,electronics.smartphone,apple,1013.86
537,computers.notebook,acer,888.03
538,electronics.smartphone,samsung,460.5
539,electronics.smartphone,samsung,139.68
540,electronics.smartphone,apple,358.31
541,appliances.kitchen.kettle,willmark,7.7
542,electronics.smartphone,apple,722.4
543,electronics.smartphone,apple,949.47
544,electronics.smartphone,apple,732.07
545,electronics.smartphone,samsung,313.78
546,electronics.audio.headphone,xiaomi,70.79
547,appliances.kitchen.washer,lg,308.63
548,appliances.kitchen.washer,beko,180.16
549,electronics.audio.headphone,jbl,20.57
550,electronics.smartphone,samsung,242.72
551,appliances.kitchen.oven,artel,40.9
552,auto.accessories.radar,ibox,62.78
553,electronics.smartphone,xiaomi,269.78
554,electronics.smartphone,samsung,275.25
555,electronics.smartphone,samsung,128.42
556,electronics.smartphone,samsung,128.42
557,electronics.smartphone,samsung,128.42
558,electronics.smartphone,samsung,88.29
559,electronics.smartphone,samsung,172.23
560,electronics.smartphone,apple,358.31
561,electronics.smartphone,apple,458.28
562,appliances.environment.vacuum,tefal,100.36
563,electronics.smartphone,xiaomi,137.18
564,electronics.smartphone,samsung,1133.36
565,electronics.tablet,samsung,109.36
566,construction.tools.drill,dewalt,150.95
567,appliances.kitchen.meat_grinder,moulinex,141.55
568,electronics.smartphone,apple,458.28
569,electronics.clocks,apple,298.6
570,electronics.smartphone,samsung,229.9
571,apparel.shoes,rooman,64.61
572,electronics.smartphone,samsung,362.29
573,electronics.smartphone,apple,949.47
574,electronics.clocks,jet,33.44
575,electronics.smartphone,samsung,223.95
576,electronics.smartphone,samsung,128.42
577,electronics.smartphone,oppo,257.38
578,electronics.audio.headphone,apple,22.86
579,auto.accessories.alarm,starline,121.24
580,appliances.personal.scales,xiaomi,20.05
581,electronics.smartphone,xiaomi,150.97
582,electronics.smartphone,samsung,503.09
583,electronics.smartphone,samsung,172.23
584,electronics.smartphone,samsung,273.56
585,electronics.smartphone,samsung,242.63
586,electronics.smartphone,xiaomi,150.97
587,electronics.smartphone,apple,732.07
588,electronics.smartphone,samsung,362.29
589,appliances.kitchen.microwave,hansa,59.13
590,electronics.smartphone,apple,566.04
591,electronics.smartphone,apple,577.89
592,electronics.smartphone,apple,458.28
593,electronics.smartphone,apple,977.3
594,appliances.kitchen.washer,indesit,205.67
595,electronics.smartphone,apple,949.47
596,electronics.smartphone,samsung,128.42
597,electronics.smartphone,huawei,230.93
598,electronics.smartphone,samsung,172.23
599,electronics.smartphone,huawei,164.95
600,electronics.smartphone,samsung,242.63
601,electronics.smartphone,apple,949.47
602,electronics.smartphone,samsung,195.06
603,electronics.audio.headphone,apple,160.57
604,electronics.smartphone,samsung,172.23
605,electronics.smartphone,oppo,179.12
606,electronics.smartphone,xiaomi,151.1
607,appliances.environment.water_heater,ariston,105.7
608,electronics.smartphone,apple,458.28
609,electronics.audio.headphone,apple,188.94
610,electronics.smartphone,samsung,128.42
611,electronics.smartphone,samsung,242.63
612,appliances.environment.vacuum,samsung,64.02
613,appliances.environment.vacuum,samsung,64.02
614,electronics.smartphone,apple,949.47
615,electronics.smartphone,samsung,275.25
616,electronics.smartphone,xiaomi,212.08
617,electronics.video.tv,samsung,488.8
618,computers.components.power_supply,aerocool,33.21
619,electronics.smartphone,samsung,362.29
620,electronics.smartphone,apple,949.47
621,electronics.smartphone,apple,1455.57
622,electronics.smartphone,samsung,242.63
623,electronics.smartphone,xiaomi,135.01
624,electronics.audio.headphone,samsung,107.45
625,electronics.smartphone,huawei,230.93
626,electronics.smartphone,xiaomi,189.97
627,electronics.smartphone,xiaomi,269.78
628,electronics.smartphone,xiaomi,280.57
629,electronics.smartphone,samsung,242.63
630,electronics.smartphone,apple,722.4
631,electronics.smartphone,samsung,128.42
632,apparel.shoes,respect,89.84
633,electronics.smartphone,samsung,195.06
634,electronics.smartphone,samsung,362.29
635,electronics.smartphone,samsung,242.63
636,electronics.clocks,apple,453.16
637,electronics.audio.headphone,kingston,56.35
638,appliances.kitchen.blender,gorenje,22.91
639,electronics.smartphone,samsung,128.42
640,electronics.smartphone,huawei,266.0
641,electronics.smartphone,samsung,128.42
642,electronics.smartphone,apple,1455.57
643,electronics.smartphone,samsung,128.42
644,electronics.smartphone,huawei,164.95
645,appliances.kitchen.refrigerators,midea,192.8
646,appliances.personal.hair_cutter,philips,41.16
647,appliances.kitchen.washer,midea,218.77
648,electronics.smartphone,samsung,1544.42
649,electronics.audio.headphone,xiaomi,22.8
650,electronics.smartphone,apple,732.07
651,electronics.video.tv,samsung,261.65
652,electronics.smartphone,apple,722.4
653,computers.components.hdd,samsung,101.16
654,computers.peripherals.keyboard,defender,16.41
655,electronics.smartphone,samsung,128.42
656,electronics.smartphone,apple,577.89
657,electronics.smartphone,apple,722.4
658,electronics.smartphone,apple,2011.63
659,electronics.smartphone,samsung,139.64
660,electronics.smartphone,samsung,242.63
661,electronics.smartphone,apple,358.31
662,electronics.smartphone,samsung,503.09
663,electronics.smartphone,samsung,131.53
664,electronics.smartphone,apple,1337.23
665,electronics.smartphone,apple,949.47
666,appliances.environment.vacuum,kolner,7.72
667,appliances.kitchen.refrigerators,midea,192.8
668,electronics.smartphone,apple,722.4
669,electronics.smartphone,xiaomi,218.54
670,electronics.smartphone,xiaomi,212.08
671,electronics.clocks,samsung,290.82
672,electronics.audio.headphone,apple,160.57
673,electronics.smartphone,samsung,128.42
674,appliances.kitchen.washer,lg,540.51
675,electronics.audio.headphone,apple,188.94
676,electronics.smartphone,oppo,128.68
677,electronics.smartphone,apple,358.31
678,appliances.kitchen.washer,samsung,398.95
679,electronics.smartphone,huawei,164.95
680,appliances.sewing_machine,janome,145.36
681,electronics.smartphone,samsung,128.42
682,electronics.smartphone,apple,722.4
683,electronics.tablet,apple,1106.59
684,electronics.smartphone,apple,1182.37
685,electronics.smartphone,apple,949.47
686,appliances.kitchen.refrigerators,haier,231.64
687,electronics.smartphone,apple,749.67
688,electronics.smartphone,apple,722.4
689,construction.tools.generator,philips,411.77
690,electronics.smartphone,samsung,139.68
691,electronics.smartphone,apple,458.28
692,computers.notebook,lenovo,252.23
693,electronics.smartphone,samsung,229.9
694,electronics.clocks,apple,317.67
695,computers.peripherals.monitor,hp,115.58
696,electronics.smartphone,apple,949.47
697,electronics.clocks,apple,457.13
698,electronics.smartphone,apple,722.4
699,electronics.smartphone,samsung,1133.36
700,electronics.audio.headphone,harper,25.71
701,furniture.kitchen.chair,joie,73.1
702,electronics.video.tv,samsung,369.45
703,computers.notebook,lenovo,252.23
704,appliances.environment.vacuum,elenberg,32.87
705,electronics.smartphone,samsung,588.92
706,computers.notebook,acer,751.27
707,electronics.smartphone,apple,949.47
708,electronics.smartphone,samsung,275.25
709,electronics.smartphone,samsung,128.42
710,electronics.smartphone,xiaomi,189.97
711,appliances.kitchen.washer,artel,93.51
712,electronics.smartphone,xiaomi,136.37
713,electronics.smartphone,samsung,172.22
714,electronics.smartphone,apple,1348.61
715,electronics.smartphone,samsung,242.63
716,appliances.kitchen.washer,midea,121.71
717,appliances.environment.vacuum,dauscher,43.73
